row_id,smiles,MW,LogP,QED,TPSA,HBD,HBA,RB,SA,C,N,O,S,F,Cl,Br,I,ring_count,scaffold_class,fg_ester,fg_amide,fg_amine,fg_alcohol,fg_halogen,img_mean,img_std,img_contrast,img_edge_density,img_texture,hist_0,hist_1,hist_2,hist_3,patch_mean_min,patch_mean_max,patch_mean_std
227,CCCCCCOc1ccc(C(=O)CCN(C)C)c(N(C)C)c1,320.47700000000003,3.8461000000000025,0.45791094200047966,32.78,0.0,4.0,11.0,2.4599999999999995,19.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,1.0,0.0,0.7178844809532166,0.13542863726615906,0.7764706015586853,0.1999782986111111,0.09871067106723785,0.045247395833333336,0.0,0.5749782986111112,0.3797743055555556,0.626586377620697,0.7479779720306396,0.046991314738988876
295,Cc1cc(=O)oc2c3c(ccc12)OC(C)(C)[C@H](OC(=O)[C@@]12CC[C@](C)(C(=O)O1)C2(C)C)[C@@H]3OC(=O)[C@@]12CC[C@](C)(C(=O)O1)C2(C)C,636.6940000000003,5.012320000000004,0.2536161617075989,144.64,0.0,11.0,4.0,5.21,35.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,2.0,0.0,0.0,3.0,0.0,0.6078622937202454,0.21680620312690735,0.7568627595901489,0.19986979166666666,0.1367052048444748,0.1540798611111111,0.0,0.8453776041666666,0.0005425347222222222,0.41850489377975464,0.7001838684082031,0.10331705957651138
85,CC/C(=C\Cn1oc(=O)[nH]c1=O)c1cccc(OCc2nc(-c3ccc(C(F)(F)F)cc3)oc2C)c1,501.46100000000024,5.184420000000004,0.3567396452032765,103.26,1.0,7.0,8.0,4.16,25.0,3.0,5.0,0.0,3.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,3.0,1.0,3.0,0.6209865212440491,0.19932790100574493,0.7568627595901489,0.19889322916666666,0.12993869185447693,0.12510850694444445,0.0,0.8747829861111112,0.00010850694444444444,0.44043439626693726,0.6971337199211121,0.09621824324131012
272,COc1ccc2cc1Oc1ccc(cc1)C[C@@H]1c3c(cc(OC)c(O)c3Oc3cc4c(cc3OC)CCN[C@@H]4C2)CCN1C,594.7080000000001,6.517200000000006,0.277707843684298,81.65,2.0,8.0,3.0,5.159999999999999,36.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,0.0,2.0,3.0,0.0,0.5737030506134033,0.2086903601884842,0.7333333492279053,0.1999782986111111,0.13373485207557678,0.1609157986111111,0.0,0.8390842013888888,0.0,0.37954795360565186,0.6654344201087952,0.09671066701412201
37,CCCCCCC[C@H]1OC(=O)C[C@@H](O)[C@H](Cc2ccccc2)N(C)C(=O)[C@H](Cc2ccccc2)OC(=O)[C@H]1C,537.6970000000002,4.883600000000005,0.3429322162841547,93.14000000000001,1.0,6.0,10.0,3.68,32.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,2.0,0.0,0.6366264820098877,0.1951502412557602,0.7647058963775635,0.1986762152777778,0.1328306943178177,0.11783854166666667,0.0,0.8804253472222222,0.001736111111111111,0.47652503848075867,0.7082448601722717,0.07026106119155884
298,CN1[C@@H](CCCc2ccccc2)CCC[C@H]1Cc1ccccc1,307.481,5.104900000000005,0.7169820449566735,3.24,0.0,1.0,6.0,2.7199999999999998,22.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.6642612218856812,0.13486340641975403,0.7529411911964417,0.1970486111111111,0.08879201114177704,0.0537109375,0.0,0.9460720486111112,0.00021701388888888888,0.5476784110069275,0.6970792412757874,0.05371520295739174
15,CNc1nc2sc(SC)nc2c2c1ncn2C,265.367,2.3415999999999997,0.7207553955989293,55.63,1.0,7.0,2.0,3.02,10.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,5.0,0.0,0.0,0.7610366344451904,0.17554497718811035,0.8627451062202454,0.19921875,0.12034893035888672,0.06228298611111111,0.0,0.00021701388888888888,0.9375,0.5938794016838074,0.8072304129600525,0.06723834574222565
113,CCCN1CCO[C@H]2c3cc(C(N)=O)ccc3CC[C@@H]21,274.364,1.8836,0.9153699161305874,55.56,1.0,3.0,3.0,2.8699999999999997,16.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,2.0,1.0,0.0,0.7894302010536194,0.1587703675031662,0.886274516582489,0.1953125,0.11038605868816376,0.04991319444444445,0.0,0.0,0.9500868055555556,0.652907133102417,0.826661229133606,0.058240856975317
184,O=c1ccc2ccc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)cc2o1,324.2850000000001,-1.0283000000000009,0.5275532873892468,129.59000000000003,4.0,8.0,3.0,3.28,15.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.8583414554595947,0.25119510293006897,1.0,0.1984592013888889,0.16552114486694336,0.09440104166666667,0.0,0.0,0.9055989583333334,0.6088507771492004,0.941203773021698,0.11506161093711853
377,CCN(C(=O)NCc1ccc(S(C)(=O)=O)cc1)C1CCN(CCC(c2ccccc2)C2CCN(Cc3cccnc3)CC2)CC1,631.8870000000001,5.567100000000007,0.28159987579537776,85.85,1.0,6.0,12.0,4.52,36.0,5.0,3.0,1.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,1.0,5.0,0.0,0.0,0.6010539531707764,0.19857439398765564,0.7411764860153198,0.1999782986111111,0.13127662241458893,0.1384548611111111,0.0,0.8615451388888888,0.0,0.42656591534614563,0.6806372404098511,0.09152599424123764
18,CCCCCC(O)/C=C/[C@@H]1[C@@H](C/C=C\CCCC(N)=O)[C@@H]2C[C@H]1OC(=O)O2,379.4970000000001,3.6258000000000017,0.3064271995152935,98.85000000000001,2.0,5.0,12.0,2.9899999999999998,21.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,0.0,0.7046913504600525,0.17654253542423248,0.8196078538894653,0.19932725694444445,0.11645413190126419,0.07573784722222222,0.0,0.3662109375,0.5580512152777778,0.4901076555252075,0.7560662031173706,0.08685073256492615
189,COc1cc2c(c3c1c(=O)c1cc4ccccc4cc1n3C)[C@@H](O)[C@@H](OC(=O)/C=C/c1ccc(Br)cc1)C(C)(C)O2,614.4920000000002,6.445600000000006,0.1424349223937742,86.99,1.0,7.0,4.0,4.569999999999999,33.0,1.0,6.0,0.0,0.0,0.0,1.0,0.0,6.0,2.0,0.0,0.0,1.0,2.0,1.0,0.5810577273368835,0.20071513950824738,0.7176470756530762,0.1999782986111111,0.130422905087471,0.14832899305555555,0.0,0.8516710069444444,0.0,0.4002315104007721,0.6648897528648376,0.0875929445028305
334,CC(=O)OC[C@@]1(C)CCC[C@]2(C)[C@H]3CC[C@@H]4[C@H](OC(C)=O)O[C@@H](C5=CC(=O)OC5O)C[C@H]4[C@]3(C)CC[C@@H]12,518.6470000000004,4.284400000000004,0.4339050524679953,108.36000000000001,1.0,8.0,4.0,4.199999999999999,29.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,4.0,0.0,0.0,3.0,0.0,0.6504459381103516,0.21149060130119324,0.7921568751335144,0.1996527777777778,0.13908110558986664,0.1284722222222222,0.0,0.7805989583333334,0.09092881944444445,0.46163538098335266,0.7311070561408997,0.09313131123781204
30,O=C(O)C(=O)Nc1nc(-c2cc(Cl)no2)cs1,273.657,1.4745999999999997,0.8028947277728011,105.32,2.0,6.0,2.0,2.9299999999999997,8.0,3.0,4.0,1.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,3.0,0.0,1.0,0.7922649383544922,0.18622367084026337,0.9058823585510254,0.1970486111111111,0.12645862996578217,0.064453125,0.0,0.0,0.935546875,0.6133850812911987,0.8418982028961182,0.07970090955495834
97,CC(C)(C(=O)O)c1cccnc1Nc1ccc(Cl)cc1,290.75,3.8408000000000015,0.8978510422108545,62.22,2.0,3.0,4.0,2.6999999999999997,15.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,2.0,0.0,1.0,0.7065338492393494,0.15864337980747223,0.8039215803146362,0.1953125,0.10761541873216629,0.061957465277777776,0.0,0.5627170138888888,0.3753255208333333,0.5637595653533936,0.7478554248809814,0.06478739529848099
